sensor_id,lon,lat
134418,-119.80049,36.762577
65723,-122.43454,37.758846
112008,-122.21276,37.805412
85015,-121.36441,38.47074
23811,-122.72299,38.55664
16059,-122.23718,40.55263
55463,-122.682976,38.44529
60833,-121.88042,36.953304
134314,-121.98268,37.296387
84639,-121.13272,38.976982
131077,-122.03972,37.93273
76377,-122.29251,37.51591
22459,-122.47229,38.50784
70239,-122.95569,38.71275
90465,-118.17063,34.20151
79337,-122.62708,38.22026
67403,-122.097,37.942448
89847,-119.717445,34.421173
72817,-121.92001,37.295616
59873,-122.14682,37.897408
81661,-120.56634,39.719757
61619,-122.157,37.879395
78031,-124.09317,40.881023
85081,-122.16599,37.463882
134260,-119.799805,36.765697
27723,-121.940254,37.92925
82265,-121.80667,36.99949
18883,-121.97856,37.29709
57355,-118.47061,34.04204
109324,-122.214,37.833733
62185,-122.55098,37.947636
113206,-122.47981,37.776146
84435,-118.78462,36.251247
22067,-122.232666,37.816116
109050,-122.93679,40.727192
95961,-118.42281,37.368397
63421,-122.19848,37.403973
62419,-122.288956,37.91765
114379,-122.49232,37.632565
81731,-118.31143,34.119446
55305,-123.26459,38.557274
26561,-124.0769,40.881527
112332,-121.70227,38.539486
89911,-117.23378,32.86863
8334,-117.63628,34.36143
4103,-121.88754,37.236416
55277,-118.46471,34.16099
113160,-122.34863,37.56733
39665,-122.17026,38.06298
79147,-122.17936,38.093334
70207,-122.50686,39.479618
115623,-119.6617,39.35966
112688,-122.125534,37.84707
4417,-118.291084,33.70755
19153,-122.43026,37.77331
14063,-121.438866,38.572556
113066,-119.67161,34.44664
83549,-121.92594,37.340534
83641,-121.95639,37.243958
15123,-120.54073,41.492126
69197,-122.168274,37.463257
112242,-122.70822,38.47389
75739,-122.02668,37.04941
51681,-118.85791,34.217396
9168,-118.28198,34.09818
97109,-117.21733,33.590275
73689,-122.14845,37.461445
86911,-122.12082,37.82039
116661,-122.55533,37.98167
79213,-121.102745,38.66437
51371,-117.95861,33.646114
112940,-119.789825,39.39635
87815,-122.501114,37.960278
113877,-120.68427,38.69717
11416,-121.96753,38.52555
92029,-122.06437,37.71078
51569,-120.55214,38.075516
108524,-120.9035,39.26622
84357,-122.271225,37.447777
60663,-121.900635,37.297935
69909,-122.43812,37.785942
65223,-121.87901,37.667675
37009,-122.00837,37.37518
60829,-122.01988,37.044243
112834,-121.94556,37.3454
91335,-117.18591,32.809074
121601,-120.01728,39.242023
38371,-122.24815,37.8201
6244,-118.372604,33.907906
14117,-122.32199,40.59561
18481,-122.478714,37.505596
