sensor_id,geo_feature,feature_type,buffer_size,sum(value),count
73755,highway,motorway_link,500,45.948896734049775,
64763,highway,trunk,1000,2891.267071300121,
118965,highway,path,1000,1716.9944756710302,
76597,highway,service,1000,12869.103717823458,
63421,highway,service,500,1289.351629457583,
77807,highway,pedestrian,1000,479.1143266517563,
4431,highway,footway,100,432.4434775998256,
69909,highway,steps,500,51.90591399959278,
86911,highway,service,500,839.6639195718709,
60455,highway,path,500,396.3160042000432,
110080,highway,footway,500,1257.3119557191728,
85697,highway,footway,100,264.18879987058654,
15803,highway,service,500,1683.3253148845129,
112242,highway,service,100,67.419728460266,
80519,highway,footway,500,600.6584384817367,
70701,highway,service,100,46.08298306344648,
84029,waterway,stream,1000,4899.183931352063,
92029,waterway,stream,1000,1553.2918904726976,
70009,man_made,tower,1000,34.58112481766262,
2362,highway,primary,1000,3670.3786652988647,
114189,highway,tertiary,1000,2868.033811930768,
3265,highway,residential,500,3187.458368570813,
38747,highway,residential,500,2941.937295914017,
55463,highway,service,500,2625.67380398438,
11416,highway,service,1000,12715.607467694232,
89751,highway,track,500,224.6570046363072,
85867,highway,steps,1000,2497.739834227976,
35809,highway,service,500,1544.2879063208325,
19157,highway,residential,500,3883.5336540191297,
79337,highway,service,1000,7859.09240220741,
78031,highway,residential,500,3204.5188737612434,
12857,highway,residential,100,352.7140316327103,
16717,highway,unclassified,500,185.2575040682807,
122079,highway,residential,1000,9438.131872058371,
6818,highway,residential,1000,7285.780897216868,
89911,highway,motorway_link,500,520.9620749349497,
35809,highway,tertiary,1000,10966.306810791117,
51301,highway,footway,500,11410.57910914368,
135134,highway,secondary,1000,1750.392231096991,
89911,highway,primary,1000,4484.257263673536,
70449,highway,secondary,500,432.2469061479368,
93521,highway,path,500,225.2866790787674,
55277,highway,steps,1000,28.646877376917352,
20547,highway,secondary,1000,820.9754022095688,
86911,highway,path,500,78.38753202562079,
14117,highway,living_street,100,249.5834323062898,
126479,highway,tertiary,500,306.5245422982009,
79337,highway,service,500,926.7422300087328,
64857,highway,footway,500,2451.115894963665,
75739,highway,track,1000,709.9768191942508,
62419,highway,service,500,1129.646567137775,
89847,highway,footway,1000,507.4184055642587,
14973,highway,steps,1000,68.10014509644887,
122079,highway,motorway,1000,3803.128491907696,
70009,highway,construction,1000,80.07257302034725,
84997,highway,secondary_link,1000,94.4227053289864,
15669,waterway,river,500,1194.526292899697,
20573,waterway,stream,500,609.4448685275672,
53401,waterway,stream,1000,1734.0184639587171,
9162,waterway,stream,500,827.461520076581,
57787,waterway,drain,1000,428.44276736627234,
70669,man_made,pier,1000,699.0404514831393,
2362,man_made,bridge,1000,161.24001866082503,
35809,man_made,courtyard,1000,152.42708560490354,
82991,highway,service,500,1795.8633509866795,
131077,highway,residential,500,7314.150116170057,
53517,highway,secondary,500,3074.5207928461814,
68393,highway,secondary,1000,4446.520628792058,
4658,highway,residential,100,425.2819625581084,
64795,highway,service,500,3387.9936536299965,
64795,highway,residential,100,187.4631187806137,
78267,highway,cycleway,1000,663.7881955140543,
60455,highway,tertiary,500,723.3096404735873,
77807,highway,residential,500,8091.640963664966,
85867,highway,footway,1000,35415.90515785598,
11844,highway,secondary,500,2424.8728734041206,
66029,highway,track,500,952.8277889810216,
65723,highway,footway,1000,36804.13649202456,
76683,highway,footway,1000,6868.7251424887845,
60833,highway,steps,1000,122.55510878751032,
80583,highway,footway,1000,875.2503101730558,
61321,highway,service,1000,2185.3070556449584,
85823,highway,pedestrian,1000,91.31696794718216,
8334,highway,primary,500,970.3152199714464,
119667,highway,trunk,1000,92.82343336424492,
75529,highway,service,100,113.60960501995508,
19507,highway,service,500,76.7640923797467,
63991,highway,service,100,17.362977947436775,
28425,highway,service,500,3219.1477791975985,
53401,highway,service,500,192.60705237395416,
85823,waterway,stream,500,1561.830239891931,
93521,waterway,stream,1000,5115.740450101357,
78947,man_made,storage_tank,1000,65.78553268244447,
37009,highway,trunk,500,1626.672654783145,
91335,highway,residential,1000,19249.894449523305,
110494,highway,residential,100,115.77930406198544,
61619,highway,residential,1000,11417.82316518658,
134246,highway,residential,1000,24881.29143588188,
134220,highway,residential,100,316.0559499347238,
78787,highway,service,1000,4161.082546783477,
16059,highway,residential,1000,5290.580965346809,
11844,highway,residential,500,6336.002506748681,
116661,highway,residential,500,8757.184700515309,
81731,highway,service,1000,2601.4669301133545,
29201,highway,tertiary,1000,612.5123366477686,
34523,highway,service,500,7071.289368146527,
85081,highway,footway,1000,11039.850322753393,
14117,highway,service,1000,2967.892806222187,
79213,highway,path,500,577.6687028447973,
76597,highway,primary,100,386.4063466227484,
56545,highway,steps,1000,35.375054527753186,
117939,highway,residential,100,310.0076356029822,
6218,highway,unclassified,100,61.251194625778,
38747,highway,service,1000,6417.015929440003,
19311,highway,path,1000,365.4330413865707,
122079,highway,path,1000,1421.4592076382908,
78015,highway,service,100,168.87119212273603,
115705,highway,platform,1000,18.00203703972416,
96159,highway,service,500,1847.5549564795515,
70471,highway,service,100,330.2982719093628,
85697,waterway,canal,500,246.03297347996485,
73533,waterway,ditch,1000,3268.107965378357,
110494,waterway,stream,1000,1985.506292340498,
14885,waterway,stream,1000,299.55266608923523,
20573,waterway,river,1000,1529.1676344552784,
89725,highway,motorway_link,500,1228.8475139346087,
65227,highway,residential,500,6524.700271473578,
70669,highway,tertiary,1000,6472.985570855349,
112008,highway,tertiary,1000,2740.9491456447417,
19153,highway,secondary,1000,7259.680264577265,
